YEAR,QUARTER,MONTH,DATE,STORE_ID,STORE_NAME,STORE_SIZE,REGION,PRODUCT_ID,BRAND,PRODUCT_CATEGORY,PRODUCT_DIVISION,PRODUCT_NAME,SELLING_PRICE_PER_UNIT,UNITS_SOLD,COST_PER_UNIT
2023,1,1,2023-01-01 0:00,40,ILBC,24444,East,3,Novex,Shirts,Apparel,Item Q,224.01,5,135.27
2023,1,1,2023-01-01 0:00,54,XPLF,72961,South,5,Vetra,Shirts,Apparel,Item P_3,129,4,58.2
2023,1,1,2023-01-01 0:00,46,CRYM,89860,East,14,Trion,Shoes,Apparel,Item S,258.5,5,132.48
2023,1,1,2023-01-01 0:00,84,ABCX,16434,North,16,Zentra,Shoes,Apparel,Item H_2,192.65,1,87.95
2023,1,1,2023-01-01 0:00,11,XGOY,27482,North,45,Novex,Power Tools,Tools,Item L,85.96,3,45.13
2023,1,1,2023-01-01 0:00,71,LSYH,89550,West,47,Zentra,Power Tools,Tools,Item L_2,158.21,1,62.84
2023,1,1,2023-01-01 0:00,81,OBQH,91812,East,80,Dexon,Team Sports,Sports,Item B_2,85.97,5,51.71
2023,1,1,2023-01-01 0:00,45,IEQX,84350,West,81,Fynix,Team Sports,Sports,Item G_7,154.47,5,59.06
2023,1,1,2023-01-01 0:00,1,MTMA,49251,North,103,Fynix,Decor,Gardening,Item J_10,106.13,3,44.22
2023,1,1,2023-01-01 0:00,23,NAAP,81228,East,150,Kryta,Beverages,Food,Item K_10,7.96,2,2.9
2023,1,1,2023-01-02 0:00,11,XGOY,27482,North,9,Novex,Shirts,Apparel,Item A,213.68,2,147.47
2023,1,1,2023-01-02 0:00,45,IEQX,84350,West,14,Trion,Shoes,Apparel,Item S,258.5,2,132.48
2023,1,1,2023-01-02 0:00,84,ABCX,16434,North,69,Novex,Team Sports,Sports,Item O_6,188.13,5,79.14
2023,1,1,2023-01-02 0:00,1,MTMA,49251,North,125,Dexon,Plants,Gardening,Item E_8,120.87,1,52.82
2023,1,1,2023-01-02 0:00,46,CRYM,89860,East,128,Dexon,Pantry,Food,Item B_4,20.01,1,8.07
2023,1,1,2023-01-02 0:00,71,LSYH,89550,West,147,Lumix,Beverages,Food,Item K_8,12.88,5,4.23
2023,1,1,2023-01-02 0:00,54,XPLF,72961,South,148,Quanta,Beverages,Food,Item K_9,13.49,3,5.17
2023,1,1,2023-01-02 0:00,40,ILBC,24444,East,150,Kryta,Beverages,Food,Item K_10,7.96,4,2.9
2023,1,1,2023-01-02 0:00,81,OBQH,91812,East,152,Zentra,Beverages,Food,Item S_10,8.47,1,2.57
2023,1,1,2023-01-02 0:00,23,NAAP,81228,East,156,Trion,Snacks,Food,Item O_10,19.43,5,8.73
2023,1,1,2023-01-03 0:00,1,MTMA,49251,North,1,Zentra,Shirts,Apparel,Item P,188.36,1,105.13
2023,1,1,2023-01-03 0:00,40,ILBC,24444,East,33,Novex,Safety Gear,Tools,Item T_2,82.69,1,49.56
2023,1,1,2023-01-03 0:00,46,CRYM,89860,East,33,Novex,Safety Gear,Tools,Item T_2,82.69,4,49.56
2023,1,1,2023-01-03 0:00,11,XGOY,27482,North,34,Novex,Safety Gear,Tools,Item O_3,70.82,2,23.35
2023,1,1,2023-01-03 0:00,84,ABCX,16434,North,94,Novex,Decor,Gardening,Item S_4,95.88,5,52.58
2023,1,1,2023-01-03 0:00,81,OBQH,91812,East,114,Quanta,Garden Tools,Gardening,Item A_5,22.06,1,13.18
2023,1,1,2023-01-03 0:00,54,XPLF,72961,South,131,Zentra,Pantry,Food,Item P_11,19.59,1,6.47
2023,1,1,2023-01-03 0:00,23,NAAP,81228,East,135,Kryta,Pantry,Food,Item J_11,21,2,12.94
2023,1,1,2023-01-03 0:00,71,LSYH,89550,West,158,Kryta,Snacks,Food,Item K_11,23.03,3,11.59
2023,1,1,2023-01-03 0:00,45,IEQX,84350,West,164,Trion,Snacks,Food,Item S_11,18.96,2,7.01
2023,1,1,2023-01-04 0:00,54,XPLF,72961,South,3,Novex,Shirts,Apparel,Item Q,224.01,5,135.27
2023,1,1,2023-01-04 0:00,45,IEQX,84350,West,36,Solvo,Power Tools,Tools,Item R,29.32,3,19.42
2023,1,1,2023-01-04 0:00,46,CRYM,89860,East,70,Kryta,Team Sports,Sports,Item S_3,181.7,3,88.96
2023,1,1,2023-01-04 0:00,71,LSYH,89550,West,77,Quanta,Team Sports,Sports,Item P_9,94.74,2,39.57
2023,1,1,2023-01-04 0:00,11,XGOY,27482,North,81,Fynix,Team Sports,Sports,Item G_7,154.47,1,59.06
2023,1,1,2023-01-04 0:00,1,MTMA,49251,North,85,Quanta,Team Sports,Sports,Item G_8,171.12,2,78.55
2023,1,1,2023-01-04 0:00,84,ABCX,16434,North,88,Zentra,Decor,Gardening,Item I_6,56.41,2,26.63
2023,1,1,2023-01-04 0:00,40,ILBC,24444,East,104,Trion,Decor,Gardening,Item D_7,115.38,5,71.78
